"","Gender","Age","Tribe","Height","color","Mathdifi","heightcat"
"1","Male",23,"Tsonga",180,"Blue","Disagree","tall"
"2","Female",26,"Other",168,"Pink","Neutral","tall"
"3","Male",22,"Other",188,"Blue","Neutral","tall"
"4","Female",22,"Pedi",140,"Pink","Neutral","short"
"5","Male",21,"Venda",185,"Blue","Disagree","tall"
"6","Male",54,"Venda",175,"Blue","Disagree","tall"
"7","Male",22,"Venda",185,"Blue","Disagree","tall"
"8","Female",24,"Tsonga",174,"Blue","Neutral","tall"
"9","Male",25,"Tsonga",170,"Blue","Neutral","tall"
"10","Female",22,"Venda",164,"Blue","Disagree","tall"
"11","Female",10,"Venda",157,"Pink","Disagree","tall"
"12","Female",54,"Venda",166,"Pink","Neutral","tall"
"13","Male",29,"Venda",157,"Blue","Neutral","tall"
"14","Female",31,"Pedi",167,"Blue","Neutral","tall"
"15","Female",21,"Venda",180,"Pink","Neutral","tall"
"16","Female",22,"Venda",150,"Blue","Disagree","short"
"17","Female",22,"Other",152,"Blue","Neutral","tall"
"18","Female",50,"Tsonga",165,"Blue","Agree","tall"
"19","Female",36,"Tsonga",177,"Pink","Neutral","tall"
"20","Male",24,"Venda",169,"Blue","Disagree","tall"
